종목명,종목코드,탐지가,넥라인,목표가,머리깊이,대칭성,넥라인돌파,A_진입가,A_청산가,A_수익률,A_결과,B_진입가,B_청산가,B_수익률,B_결과
에이비엘바이오,298380,34600,43925,58450,10.4,90.7,O,34600,58450,68.9,목표달성,70200.0,58450.0,-16.7,목표달성
이수페타시스,007660,38100,43675,56550,19.8,97.8,O,38100,56550,48.4,목표달성,62200.0,56550.0,-9.1,목표달성
유한양행,000100,112700,137100,171300,11.0,94.4,X,112700,109700,-2.7,기간종료,,,,돌파실패
아모레퍼시픽,090430,131500,139150,177700,16.5,90.1,O,131500,118350,-10.0,손절,139500.0,137300.0,-1.6,기간종료
코오롱티슈진,950160,41050,49075,66900,22.8,99.6,O,41050,36945,-10.0,손절,49650.0,44685.0,-10.0,손절
리노공업,058470,38564,44250,58186,18.1,99.6,O,38564,58186,50.9,목표달성,45150.0,58186.0,28.9,목표달성
한화솔루션,009830,18410,20855,26490,12.5,90.5,O,18410,26490,43.9,목표달성,29900.0,26490.0,-11.4,목표달성
한미약품,128940,270000,306000,397500,18.8,97.5,O,270000,397500,47.2,목표달성,309000.0,397500.0,28.6,목표달성
LS,006260,99300,133600,181900,10.5,95.8,O,99300,181900,83.2,목표달성,162000.0,181900.0,12.3,목표달성
두산로보틱스,454910,58500,67550,89350,22.1,95.4,O,58500,89350,52.7,목표달성,71200.0,64080.0,-10.0,손절
GS,078930,45950,46075,56500,17.8,90.2,O,45950,56500,23.0,목표달성,46800.0,56500.0,20.7,목표달성
삼성E&A,028050,22100,23450,30520,23.5,97.0,O,22100,30520,38.1,목표달성,25800.0,30520.0,18.3,목표달성
리가켐바이오,141080,127200,143500,193000,22.6,91.3,O,127200,193000,51.7,목표달성,149500.0,134550.0,-10.0,손절
케어젠,214370,30250,35950,48700,18.7,91.2,O,30250,48700,61.0,목표달성,46600.0,48700.0,4.5,목표달성
CJ,001040,119500,133150,172700,16.3,91.3,O,119500,172700,44.5,목표달성,146100.0,172700.0,18.2,목표달성
HD건설기계,267270,68700,77850,99800,16.1,95.0,O,68700,99800,45.3,목표달성,90300.0,99800.0,10.5,목표달성
포스코DX,022100,22650,26725,33450,11.0,98.4,O,22650,33450,47.7,목표달성,27150.0,24435.0,-10.0,손절
대한전선,001440,12790,13540,17080,15.2,91.6,O,12790,17080,33.5,목표달성,15110.0,17080.0,13.0,목표달성
한전기술,052690,61100,68950,88100,16.9,96.2,O,61100,88100,44.2,목표달성,84600.0,88100.0,4.1,목표달성
LG이노텍,011070,155500,170500,203800,10.2,94.4,O,155500,203800,31.1,목표달성,171800.0,203800.0,18.6,목표달성
원익IPS,240810,26450,27300,33700,15.3,90.5,O,26450,33700,27.4,목표달성,30650.0,33700.0,10.0,목표달성
이오테크닉스,039030,147200,157200,199900,18.6,96.2,O,147200,199900,35.8,목표달성,203500.0,199900.0,-1.8,목표달성
넷마블,251270,58200,61400,85300,31.7,91.6,O,58200,52380,-10.0,손절,61900.0,55710.0,-10.0,손절
엔씨소프트,036570,190600,205950,263700,19.1,95.7,O,190600,232500,22.0,기간종료,223000.0,200700.0,-10.0,손절
DB하이텍,000990,43700,49600,61650,10.4,92.4,O,43700,61650,41.1,목표달성,50400.0,61650.0,22.3,목표달성
에코프로머티,450080,48200,56500,71850,16.6,95.3,O,48200,71850,49.1,목표달성,63400.0,57060.0,-10.0,손절
클래시스,214150,50500,53850,67700,17.3,98.7,O,50500,45450,-10.0,손절,54900.0,49410.0,-10.0,손절
산일전기,062040,67000,73350,98300,25.9,95.9,O,67000,98300,46.7,목표달성,118400.0,98300.0,-17.0,목표달성
메지온,140410,32500,35125,42625,10.8,92.1,O,32500,42625,31.2,목표달성,36900.0,42625.0,15.5,목표달성
현대제철,004020,24100,30650,39900,10.2,99.4,O,24100,32400,34.4,기간종료,34200.0,30780.0,-10.0,손절
KCC,002380,310500,333000,410500,12.3,92.1,O,310500,410500,32.2,목표달성,350500.0,410500.0,17.1,목표달성
SKC,011790,139600,168500,233000,25.1,99.9,X,139600,125640,-10.0,손절,,,,돌파실패
HPSP,403870,25050,30475,39800,12.9,99.8,O,25050,39800,58.9,목표달성,30850.0,39800.0,29.0,목표달성
SK바이오사이언스,302440,43350,51175,63650,13.7,93.3,O,43350,51500,18.8,기간종료,52400.0,47160.0,-10.0,손절
한국가스공사,036460,41300,48750,65150,18.9,94.1,X,41300,39900,-3.4,기간종료,,,,돌파실패
보로노이,310210,110700,149850,209900,15.0,95.1,O,110700,209900,89.6,목표달성,151600.0,209900.0,38.5,목표달성
금호석유화학,011780,104400,119050,149800,12.0,94.9,O,104400,149800,43.5,목표달성,120700.0,149800.0,24.1,목표달성
ISC,095340,57800,66000,83500,15.1,96.8,O,57800,83500,44.5,목표달성,67400.0,83500.0,23.9,목표달성
펄어비스,263750,37300,42050,54150,14.6,97.1,O,37300,33570,-10.0,손절,42950.0,54150.0,26.1,목표달성
CJ제일제당,097950,249500,271000,322000,10.6,98.4,X,249500,224550,-10.0,손절,,,,돌파실패
한미사이언스,008930,37050,36925,46900,16.6,90.3,O,37050,46900,26.6,목표달성,45300.0,40770.0,-10.0,손절
한솔케미칼,014680,122100,138250,171000,10.1,98.0,O,122100,171000,40.0,목표달성,170500.0,171000.0,0.3,목표달성
솔브레인,357780,201000,216500,262500,10.8,90.3,O,201000,262500,30.6,목표달성,220000.0,262500.0,19.3,목표달성
롯데케미칼,011170,60100,73200,94600,10.5,94.8,O,60100,86400,43.8,기간종료,75900.0,68310.0,-10.0,손절
일진전기,103590,33150,34400,46250,27.3,93.5,O,33150,46250,39.5,목표달성,41450.0,37305.0,-10.0,손절
에스티팜,237690,82700,100300,129800,12.9,97.2,O,82700,129800,57.0,목표달성,105700.0,95130.0,-10.0,손절
이수스페셜티케미컬,457190,41350,55825,80850,24.0,95.9,O,41350,80850,95.5,목표달성,57700.0,51930.0,-10.0,손절
에스피지,058610,25550,27375,35620,20.6,96.3,O,25550,22995,-10.0,손절,27400.0,35620.0,30.0,목표달성
풍산,103140,57300,72400,95800,10.8,92.5,O,57300,95800,67.2,목표달성,135500.0,95800.0,-29.3,목표달성
세아베스틸지주,001430,23250,23750,28380,11.6,94.2,O,23250,28380,22.1,목표달성,30750.0,28380.0,-7.7,목표달성
셀트리온제약,068760,50697,56384,67857,10.9,99.2,O,50697,67857,33.8,목표달성,56679.0,67857.0,19.7,목표달성
대덕전자,353200,17060,18615,23430,16.8,98.1,O,17060,23430,37.3,목표달성,22700.0,23430.0,3.2,목표달성
동진쎄미켐,005290,27600,31850,43150,23.0,95.3,O,27600,43150,56.3,목표달성,32500.0,29250.0,-10.0,손절
농심,004370,383000,430000,529000,10.8,96.6,O,383000,529000,38.1,목표달성,488000.0,529000.0,8.4,목표달성
더존비즈온,012510,69000,79750,100100,12.2,96.6,O,69000,62100,-10.0,손절,80000.0,100100.0,25.1,목표달성
실리콘투,257720,36900,43850,64100,34.9,98.3,O,36900,51300,39.0,기간종료,48350.0,43515.0,-10.0,손절
CJ대한통운,000120,86100,96850,116300,11.8,96.2,O,86100,99300,15.3,기간종료,100500.0,108800.0,8.3,기간종료
롯데에너지머티리얼즈,020150,24450,27337,33075,13.0,94.6,O,24450,22005,-10.0,손절,28100.0,25290.0,-10.0,손절
JYP Ent.,035900,69600,84700,112800,15.8,96.1,O,69600,73100,5.0,기간종료,85000.0,76500.0,-10.0,손절
아모레퍼시픽홀딩스,002790,22350,23300,27790,12.5,94.4,O,22350,27790,24.3,목표달성,29500.0,27790.0,-5.8,목표달성
에스엘,005850,32400,37325,47800,15.8,96.7,O,32400,47800,47.5,목표달성,38100.0,47800.0,25.5,목표달성
티씨케이,064760,85000,92750,115500,15.1,95.5,O,85000,115500,35.9,목표달성,101600.0,115500.0,13.7,목표달성
유진테크,084370,41950,46175,61500,22.8,90.2,O,41950,61500,46.6,목표달성,46250.0,61500.0,33.0,목표달성
두산퓨얼셀,336260,16190,18275,24050,19.8,93.7,O,16190,24050,48.5,목표달성,22000.0,24050.0,9.3,목표달성
고영,098460,14040,18195,23550,11.7,91.2,O,14040,23550,67.7,목표달성,20100.0,18090.0,-10.0,손절
태성,323280,31150,39750,59050,30.2,94.9,O,31150,28035,-10.0,손절,40650.0,36585.0,-10.0,손절
파두,440110,12200,14345,18630,18.8,90.2,O,12200,10980,-10.0,손절,15410.0,18630.0,20.9,목표달성
현대위아,011210,42450,46675,56450,10.7,98.3,O,42450,56450,33.0,목표달성,48000.0,56450.0,17.6,목표달성
하나마이크론,067310,10800,13560,17690,12.2,93.6,O,10800,17690,63.8,목표달성,13830.0,17690.0,27.9,목표달성
엘앤씨바이오,290650,22400,24100,29710,14.8,98.2,O,22400,29710,32.6,목표달성,31900.0,29710.0,-6.9,목표달성
오스코텍,039200,30600,34550,43250,11.4,91.9,O,30600,43250,41.3,목표달성,37000.0,43250.0,16.9,목표달성
심텍,222800,17890,22065,33170,36.7,95.3,O,17890,33170,85.4,목표달성,22300.0,33170.0,48.7,목표달성
큐리옥스바이오시스템즈,445680,23350,26175,37870,35.6,95.1,O,23350,37870,62.2,목표달성,37650.0,37870.0,0.6,목표달성
신성델타테크,065350,68600,82450,107900,11.2,92.2,X,68600,61740,-10.0,손절,,,,돌파실패
씨어스테크놀로지,458870,12270,15680,19960,10.2,93.4,O,12270,19960,62.7,목표달성,32450.0,19960.0,-38.5,목표달성
서진시스템,178320,20500,24825,33160,23.3,90.2,O,20500,18450,-10.0,손절,25450.0,22905.0,-10.0,손절
호텔신라,008770,45800,49400,60950,14.3,93.0,O,45800,45700,-0.2,기간종료,50100.0,45090.0,-10.0,손절
녹십자,006280,137400,150050,183000,12.1,94.8,O,137400,170100,23.8,기간종료,151100.0,164300.0,8.7,기간종료
시프트업,462870,56900,69250,90950,10.7,94.6,X,56900,51210,-10.0,손절,,,,돌파실패
대웅제약,069620,144400,154700,200400,19.9,91.8,O,144400,129960,-10.0,손절,162400.0,163300.0,0.6,기간종료
에스앤에스텍,101490,25600,27950,36890,18.8,91.5,O,25600,36890,44.1,목표달성,49850.0,36890.0,-26.0,목표달성
씨에스윈드,112610,42050,48775,67500,23.7,98.6,X,42050,40050,-4.8,기간종료,,,,돌파실패
효성티앤씨,298020,225500,265250,344000,15.1,94.8,O,225500,202950,-10.0,손절,265500.0,344000.0,29.6,목표달성
한국콜마,161890,64600,70850,84600,11.5,97.1,O,64600,84600,31.0,목표달성,93000.0,84600.0,-9.0,목표달성
